uid,size,brand,model,loadspeed
202501300001,255/70R17,Goodyear,Wrangler Territory AT/S,112T
202501300002,275/60R20,Goodyear,Wrangler Territory AT,115S
202501300003,225/65R17,Goodyear,Wrangler Steadfast HT,102H
202501300004,225/65R17,Goodyear,Wrangler Fortitude HT,102H
202501300005,215/55R17,Goodyear,EfficientGrip Performance 2,94W
202501300006,225/45R17,Goodyear,Eagle Sport All-Season,94W
202501300007,265/35R21,Goodyear,Eagle Sport All-Season AO,101H
202501300008,265/35R21,Goodyear,Eagle Sport All-Season,101H
202501300009,245/45R18,Goodyear,Eagle Sport All-Season,100H
202501300010,245/45R18,Goodyear,Eagle Sport All-Season ROF,100H
202501300011,245/45R18,Goodyear,Eagle Sport All-Season,100H
202501300012,245/45R18,Goodyear,Eagle Sport All-Season ROF,100H
202501300013,235/55R19,Goodyear,Eagle F1 Asymmetric 5 MO,105W
202501300014,235/55R19,Goodyear,Eagle F1 Asymmetric 3 SUV,101Y
202501300015,235/55R19,Goodyear,Eagle F1 Asymmetric 3 SUV JLR,105W
202501300016,235/55R19,Goodyear,Eagle F1 Asymmetric 3 SUV,105Y
202501300017,215/55R17,Goodyear,EfficientGrip Performance 2,98W
202501300018,215/55R17,Goodyear,EfficientGrip Performance 2,94W
202501300019,205/55R16,Goodyear,Eagle Sport All-Season,91V
202501300020,205/55R16,Goodyear,Eagle Sport All-Season,94V
202501300021,215/55R17,Goodyear,EfficientGrip Performance 2,98W
202501300022,215/55R17,Goodyear,EfficientGrip Performance 2,94W
202501300023,215/55R17,Goodyear,EfficientGrip Performance 2,98W
202501300024,195/65R15,Goodyear,Eagle Sport All-Season,95V
202501300025,195/65R15,Goodyear,Eagle Sport All-Season,91T
202501300026,225/45R17,Goodyear,Eagle Sport All-Season AO,91H
202501300027,225/45R17,Goodyear,Eagle Sport All-Season,94W
202501300028,205/55R16,Goodyear,Eagle Sport All-Season,91V
202501300029,205/55R16,Goodyear,Eagle Sport 2,91V
202501300030,255/55R20,Goodyear,Wrangler Territory HT,110V
202501300031,255/55R20,Goodyear,Wrangler Territory HT,110V
202501300032,235/55R19,Goodyear,Assurance Finesse,105H
202501300033,235/60R18,Goodyear,Assurance Finesse,103H
202501300034,235/55R19,Goodyear,Eagle F1 Asymmetric 3 SUV,105V
202501300035,215/60R17,Goodyear,Assurance Triplemax 2,96H
202501300036,255/40R21,Goodyear,Eagle F1 Asymmetric 6,102Y
202501300037,285/35R21,Goodyear,Eagle F1 Asymmetric 6,105Y
202501300038,265/65R18,Goodyear,Wrangler Steadfast HT,114T
202501300039,275/45R21,Goodyear,Eagle F1 Asymmetric 6,110Y
202501300040,275/45R20,Goodyear,Eagle F1 Asymmetric 6,110Y
202501300041,295/40R21,Goodyear,Eagle F1 Asymmetric 6,111Y
202501300042,225/40R19,Goodyear,Eagle F1 Asymmetric 5 MO,93Y
202501300043,255/35R19,Goodyear,Eagle F1 Asymmetric 5 MO,96Y
202501300044,195/65R15,Goodyear,Eagle Sport 2,91V
202501300045,175/65R14,Goodyear,Eagle Sport 2,82H
202501300046,255/65R18,Goodyear,Wrangler Territory AT/S,111H
202501300047,235/50R18,Goodyear,Eagle F1 Asymmetric 5,97V
202501300048,265/40R20,Goodyear,Eagle F1 Asymmetric AO,104Y
202501300049,235/65R16,Goodyear,Vector 4 Seasons,115/113R
202501300050,325/65R18,Goodyear,Wrangler Territory AT,121/118T
202501300051,205/65R16,Goodyear,EfficientGrip Cargo 2,
