uid,size,brand,model,loadspeed
20250121001,185/65R15,Firestone,Roadhawk,88V
20250121002,255/35R18,Bridgestone,Weather Control A005 Evo,94Y
20250121003,245/60R18,Firestone,Roadhawk,105H
20250121004,225/40R19,Bridgestone,Potenza S001 AR RFT,89Y
20250121005,195/75R16,Bridgestone,Duravis R660,
20250121006,255/30R19,Bridgestone,Potenza RE050A RFT,91Y
20250121007,225/55R19,Bridgestone,Weather Control A005 Evo,99V
20250121008,255/55R19,Bridgestone,Dueler H/P Sport,111Y
20250121009,275/45R21,Firestone,Roadhawk,110Y
20250121010,245/40R19,Bridgestone,Weather Control A005 Evo,98Y
20250121011,255/55R20,Firestone,Roadhawk,110H
20250121012,235/65R16,Bridgestone,Duravis All-Season,
20250121013,245/45R19,Bridgestone,Weather Control A005 Evo,102V
20250121014,225/45R17,Firestone,Firehawk SZ 90,94Y
20250121015,255/35R18,Bridgestone,Weather Control A005 Evo,94Y
20250121016,225/40R19,Bridgestone,Potenza S001 RFT,89Y
20250121017,255/40R18,Firestone,Roadhawk 2,99Y
20250121018,245/50R18,Bridgestone,Potenza Sport,104Y
20250121019,265/50R20,Firestone,Roadhawk,107T
20250121020,275/65R17,Firestone,Roadhawk,115H
20250121021,225/35R18,Bridgestone,Potenza Sport,87Y
20250121022,255/45R20,Bridgestone,Potenza Sport,105W
20250121023,255/55R19,Bridgestone,Blizzak LM005,111H
20250121024,235/65R18,Bridgestone,Weather Control A005 Evo,106V
20250121025,245/35R19,Firestone,Roadhawk,93Y
20250121026,255/60R18,Bridgestone,Blizzak LM005,112V
20250121027,225/45R18,Bridgestone,TURANZA LS100 (MOE) EXT,91H
20250121028,205/60R18,Bridgestone,Blizzak LM005,99H
20250121029,255/35ZR19,Bridgestone,Potenza Race,96Y
20250121030,265/40ZR18,Bridgestone,Potenza Sport,101Y
20250121031,225/50R17,Bridgestone,Blizzak LM001,98H
20250121032,265/30R19,Bridgestone,Potenza Sport,93Y
20250121033,265/70R18,Firestone,Roadhawk,114H
20250121034,235/50R18,Bridgestone,Dueler H/L 400 MOE,97H
20250121035,205/55R17,Bridgestone,DUELER H/P SPORT RFT,91V
20250121036,225/55R17,Bridgestone,Blizzak LM001,97H
20250121037,245/35R19,Bridgestone,Potenza Sport,93Y
20250121038,265/35R18,Bridgestone,Potenza Sport,97Y
20250121039,245/50R18,Bridgestone,Potenza Sport,104Y
20250121040,235/35ZR19,Bridgestone,Potenza Race,91Y
20250121041,255/50R20,Firestone,Roadhawk,109Y
20250121042,245/50R20,Firestone,Roadhawk,102H
20250121043,255/50R19,Bridgestone,Potenza Sport,107Y
20250121044,245/50R18,Bridgestone,Potenza S001,100Y
20250121045,245/45R20,Bridgestone,Potenza Sport,103Y
20250121046,285/40R20,Bridgestone,Turanza 6,108Y
20250121047,245/50R20,Firestone,Roadhawk,102H
20250121048,235/40R20,Bridgestone,Potenza Sport,96Y
20250121049,185/65R15,Firestone,Roadhawk,88V
